Original English,Translated AR
I burned the lunch,غادي نحرق غادي
the baby should breaseat,علّيّك تاخدّل ليا ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
Let me revise my lessons,خليني نراجع دروسي
you did whats necessary,مابغيتيش حاجة
Have you tried to make a tajine,واش جربتي كي تصنعي تاجين
"Don't worry, but make sure you know what's what tomorrow",غادي ماقلقتي، ولكن تأكدي من معرفتك باش غادي غادي
"Look at the ducks, pretty girls too... what do you do for work?",انظرا للبطّ، بنات جميلات جدا... ماذا تعمل في العمل؟
they brought new films that we watched,جلبو افلام جديده كنا نراقبها
i thought that he will teach his children islam,كانضن ليا غادي يدرّس ولده أسلم
we found the hosts,وَجدنّا المُضيفين
"Notes, Sir, this is not a plan. It's impossible. ",ملاحظات يا سيدي، هذه ليست خطّة بل مستحيل
lets go out tomorrow,خلينا نخرج غدا
you want us to live comfortably,مابغيتنا نا عشّو بزّاف بزّاف
whos son is he,هادشي هادشي هادشي
do you have chicken for sale,واش عندك دجاجة بزّاف
take your bag with you ,خّد ليك ليك بزّاف
dont talk to mom like this,مابغيش تاكل لوالدتي هادشي
they have all married now,ديهم كلهم متزوّجون الآن
don't lie to me,مابغيش نكذب عليّ
But when we got in the lift my boss started to tell me this story,و لكن عندما دخلنا الرافعة بدأ رئيسي يروي لي هاد القصّة
I dare you to leave him alone,تحداك باش تدعه بحاله
do you think i'm stupid,واش تحسبني غادي غادي غادي
lets finish this call,واش نكمل هاد المكالمه
i was about to fall,كنت على وشك السقوط
without judging,بلا حكاية
And on your side?,و في جانبك؟
wife be calm please,كونا هادئين من فضلك
I have heard that meat is not the best for them,سمعت أن اللحم ماشي خير لهم
i need you with me,مابغيتك معي
I locked myself in the bathroom to cry,علّقت نفسي في الحمّام للبكاء
Do you know how to get to the Mansour Hotel?,واش تعرف كيف تصل لفندق منصور؟
god help you,راه الله يساعدك
I feel good,أشعر بزّاف
can you gimme salt,واش تهدي ليا ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
when is this,هادشي هادشي
Why don't you want to organize you eating schedule,علاش مابغيتيش تادير ليك ديالك تاكل ديال
He didn't greet you well?,واش ماحياك جيّد؟
My boss is not happy,رئيسي ماكان غير سعيد
i will go to seamstress,أنا غادي ندير
i made you meet each others,أنا غادي نقابلو معا
"Yes, I take the plane very often.",نعم، أنا أركب الطائرة بزّاف.
you gave me siomething hard,عطيتيني بزّاف بزّاف بزّاف
And I even trained to learn how to not be afraid of flying!,و حتى تدربت لتعلّم كيف لا تخاف من الطيران!
Don't be mad,مادامت غير مجنونا
I dont think you can protect me,مانضنششش قدرش تاحميني
if you be haste,لو كنت تهزّم
Please wait out side,واش باش باش بزّاف بزّاف
"It's true, it's been a long time.",صحيح، مر وقت طويل
I saw one on Facebook.,رأيت واحد على الفيس بوك
why you dont wanna choose what you want,علاش مابغيتيتيش تختاري شي حاجة
 you are too late to swim,واش بزّاف بزّاف تسبح
I won't go out,مانخرج
i'll go stargazing,أنا غادي نمشي بزّاف
i wanna come back to my city,أريد أن نرجع إلى مدينتي
You don't want to customize clothes,مابغيتيش تكيّف الملابس
look yourself my friend,هادي ليك بزّاف ليا
you got it clearly,هاد بزّاف بزّاف بزّاف بزّاف
what i want ,راه ليا راه
I will call you if I need you,أنا غادي نناديك واش حاجة ليك
Do you know a good one?,هل تعرف واحد جيّد؟
i hate bath,أنا كرهت حمّال
he took all my accounts,هو أخذ كلّ حساباتي
you have no decency,ماعندك بزّاف
Let me take care of my own responsibilities,خليني نعتني بمسؤولياتي
I know,أنا عارف
i thought that my mother has same blood,حسبت أن أمّي ديها دمّ واحد
i will do anything,أنا غادي غادي ندير
we prepare for too many time,غادي نجهز لوقت طويل
the newborn puppies were adorable,واي وليد كانت ديال ديال ديال ديال ديال الواليد
Don't answer the call,مابغيت نجيب على النداء
you need to see a doc asap,غادي تشوفي ديالك بزاف
i should bring meds,أنا غادي نجلب ديال ديال
i dont know what he talks about,أنا مانعرف مايتحدث عنه
if only i found what i looked for,كون غير قدرت عاينت مابحثت عنه
where are you at,فين فيك؟
i will assist you,أنا غادي نديرك
i lost my house keys,غادي غادي دار ديال ديال ديال ديال ديال ديال
side hussle,واش واش
tell me what happened,قل لي ما حدث
it was an adventure to remember,كانت مغامرة لتذكرها
he is short,راه بزّاف
i did go to market,أنا غادي نرجع لسوق
I'm a little disappointed,أنا خاب أملي قليلا
its hard these days,هادشيها هاد الأيام
i like sea,أنا أحب البحر
say hamdolah,راه هاد الله
no one knows the price,لا أحد يعرف السعر
Have you tried to go to beach morning,عمرك حاولتي تشوفي باش نهار
he still didnt say anything,مازل ماقلش شي شي حاجة
you are too late to lend me ,تاخرت بزّاف باش تقرضني
it's a good idea,هادي فكرة جيّدة
go do make up,واش نخمد معاك
Have you tried to overlook your decision,واش جربتي تا غادي ديالك ديال ديالك
I'm waiting for you to count ,كانتسنّا بزّافك تحصّل
And know to be a new person.,وعرفي أن تكون شخص جديد
"Now, I think I've got everything we need to solve this problem",الآن، مانضن عندي كل شي حاجة لحلل هاد المشكلة
Are you still okay here?,أما زلتي بخير هنا؟
Why dont you want to stop me from doing this,علاش مابغيتيش تمنعني من فعل هادشي
i boeni n casa,واش بزّا باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
