Original Eng,tgt,src
you are too late to get healed,تعطلتي بزّاف باش تخلّص,I've given you too much to get rid of
you went to bar,مشيتي لبار,I'm going to work
keep handling the phone,سدري تليفون,I'm on the phone
I can help you,نقدر نعاونك,We can help you
you're not even able to say good night,حتى ماقدريش تقول ليا صباح,"Even when you say "" Lya subah"
the cashier thanked the customer for their purchase,كاشير شكرت ل زبون على شري,Kashir thank you for living on my life
we never drink soda at home,ماعمرنا نشربو صودا فدار,Our lives have been passed on from the old order
war errupt,حرب,Harp
i will not ask you you are a good guy,مابقيتش باغي نسولك نتا راجل مزيان,I'm not going to be able to get you to the palace
what did the guy tell him,أش قالو ليه هاداك راجل,I'm saying why this is so Rajal
Does he like the school?,واش كايعجبو المدرسة؟,Do you like school?
the voting results,نتيجة التصويت,Results of the vote
if only I could cross the road,كون غير قدرت ن نقص طريق,Being unable to miss a way
this year engineers will get a better pay,هاد العام المهندسين غادي يحصلو على أجر مزيان,This year the engineers will get their salaries
Have you tried to scare someone,عمرك جربتي تخاف من شي حد,Your age is too short to be afraid of any limit
they give lacking information,كايعطيو المعلومات لي ماكاينش,Can you give me the information?
I wish they would make fish bastilla.,ماكرهتش يديرو البستيلا ديال الحوت,I don't know how to make this stuff
she cleaned the house,راه سدّات دار,The way is right
that's too much,هادشي بزاف,That's a good thing.
do you have arabic books,عندك كتب العربية,You have an Arabic book
occasion,مناسبة,Proper
good bye,الوداع,Bye
did you make my bed ?,واش درتي فراشي؟,Are you asleep?
Let me grow up as I want,خليني نكتبر على لي بغا,Let me write on my big one
it is unlikly that i remember him,ماعنديش احتمال أنّي كنتي تذكّر ليه,I don't think it's possible that I'd remembered him.
i was yelling and screaming,كنت كانصيح و نڭول,I was a little out of the blue
breath slowly,تنافس ب شحال,Competition is over.
"Good evening, my friend",مساء الخير صاحبي,My dear
looking after our mental health,كايديرو على صحة ديالنا,Do the right thing
i'm good and you,أنا و أنت بخير,Me and you are fine
i'm still stuck here,مازال حنا هنا,We're still here
we should try to find the cabin,خاصنا نحاولو نشوفو الكوخة,Especially when we see the old cocheta
Then marinate in lemon juice.,و من بعد مريني ف عصير ديال ليمون,And then I saw the lemon juice
i will stay this night,أنا غادي نبقى هاد الليلة,I'm going to stay tonight
i wont come today,ماغاديش نجي ليوما,Maghdeesh is not for you
he splits with his brothers,كايقسم مع إخوته,I swear to you
a song that i liked,واحد الأغنية عجباتني,The only song that amazed me
money is abundant,الفلوس كايكونو بزاف,The money is still there
I quickly ate lunch,شحال واكلت الغدا,I've been talking to you
when does the bus arrive?,إمتا جاي البوس؟,Did you find the boss?
wash you hands before eatring,غسل يديك قبل ما تكل,Wash your hands before you eat
What kind of party do you think it should be?,أشمن نوع ديال الحفلة كتنّا خاص تكون؟,What kind of party are you?
then she went home,و من بعد مشات لدار,And then I'll go to the doctor
be quiet,سكت,I've learned
I'm worried about... I seem to worry about everything,كنقلق على... كايبان ليا كايقلق على كلشي,I was worried about... how to be worried about everything
Why didn't you come yesterday?,علاش ماجيتي البارح؟,Is that what happened yesterday?
"Besides, there's no time to take a nap from the workload, it's a scandal!",علاوة على، ماكاينش والو باش نڭلس من هاد لعب، راه الفضيحة!,"Besides, there was no one to talk about this game, the best way!"
Yes I'll get in touch with them for you,آه أنا غادي نتواصل معهم,Ah I'm going to keep talking to them
how much time you need,شحال خاصك,How special?
there is a website of fst,كاين شي موقع ديال الفست,Is there any chance of theft?
how did this,كيفاش هادشي,How is this?
Open the window,فتح ليا شي دراجة,Victory is a thing that is needed
how do you mentally prepare for matches against rivals or historically strong opponents?,كيفاش كايستعدّف فالمڭاهرة على الماتشات ضد ريفياليين و لاخبار من تاريخي؟,How can you learn to speak against the rifeals and not to hear from history?
what are you doing,أش كاديري,I can 't
Let me get my stuff together,خليني نجمع ليا لحوايج,Let's get together and see you
this what got me to start over,هادشي لي عاوضني نبدا من جديد,That's why I'm here to talk to you
you choked me with the news yesterday,خديتي ليا الخبر البارح,I got the news yesterday
Let me change what I want,خليني غير داكشي لي بغيت,Leave me alone I want you
But you never had problems with the old neighbours then?,و لكن ماعمرك ماعنديتي مشاكل مع الجيران القديمة دابا؟,But your life has been in trouble with old neighbors?
don't think that i  have ulteriour motive,بلا ما تفرج ليا أنّه عندي داك لموت,I have your son to die for
i will not scam you,مابقيتش باغي نخرطك,I'm still waiting to buy you a drink
like my post,بحال البوسطة ديالي,I'm back to my job
he boight what i needed,راه كايحضر ليا لي كانحتاجي,The way I was going was my need
she is at work,راه ف الخدمة,Path to service
i thought that he will heal his father,كان كيسحاب ليا غادي يدير الواليد,He was a favorite of the parents
this man is muscular,راه كايعيشو هاد راجل بزّاف ديال العضلات,How do we live in this man who is a muscularist?
Because you'd be called Lent or something,حيت غادي تسمي ليك العطلة ولا شي حاجة,I'll call you a girl and nothing is needed
Sunday is my off day,نهار لي نهار لي نهار لي عطل,Nighar me nighar me nighar me atal
you have a very challenging job being a librarian,عندك خدمة صعيبة بزاف كونك كاتكون كاتكتيب,"You have a great service, you can be a writer, a writer"
