Original Eng,Translated AR
I'm waiting for you to do prostitution,كانتسنّا فيك ت دير ديك لفرقة
i think if i could improve my skills,تانفكّر واش نقدر نعاود ليا شي مهارات
It's been over a month since we met.,راه مورا شهر منما تقابلنا.
the store is yours,دكشي ديالك
where is the notebook,فين هاد المكتب؟
Maybe you would like that before rock music,إمكن بغيتي تحمّد داك قبل موسيقى ديال الروك
On you or me?,فيك ولا عليا؟
You don't want to double your money,مابغيتيش ت مضاعف فلوسك
go interact with them,سير تفاعل معاهم
This moment is history,هاد لمرة هي تاريخ
god save him,الله يخلصو
we do this for allah blessing,هادشي كايديرو الله يباركونا
we all know to yell and fight,كولنا كايعرفو نعاودو و نقاتلو
he is near the electricity ,راه قريب من الكهرباء
i miss you mom,تمانت ليك ماما
no problem go,ماعندكش مشكل
dont burp too hard,ماتبقاش تبرز بزاف
I came exhausted from work,جيت متعبا من الخدمة
say it from begining,قولها من البداية
your contract isnt official,كونطرة ديالك ماشي رسمية
I'll be right back,غادي نرجع دابا
do you have family here?,واش عندك عائلة هنا؟
What did you do last night?,اشنو درتي ليلة لي فات؟
You don't want to improve your life,مابغيتيش ت تحسّن حياتك
do you enjoy cooking with fresh herbs?,كاتعجبك تطبخ مع الأعشاب؟
I'm waiting for you to get all the numbers,كانتسنّا فيك ت ديك لجميع الأرقام
its like you dont wanna get off the field,كايبدو ليك مابغيتيش تخرج من لفرقة
You'll never guess who I ran into at the mosque last Saturday - Driss!,ماعمرك ماغاديش تخمن شكون لقا معايا فالمسجد سبت لي فات - دريس!
Why dont you want to color the papers,علاش مابغيتيش تفرّن لوراق
I eat everything.,كانكل كلشي.
this clinic isnt doing well,هاد العيادة ماخايجحش
you were laughing a moment ago,كنتي كنتي كادكشي
Where are you on dessert?,فين كانهس ديسير؟
as you say,كيمڭولك
i want no one to see me,ماكانبغيش شي واحد يشوفني
I don't understand,مافهمش
whenever I call you you always busy,كلما كنتسول ليك ديما كايكون مشغول
Her eyes are sharp,عينيها حوايج
she is too noisy,راه كايكون بزّاف
he provide his family,كايعطي لعائلته
we need to work on it,خاصنا نبداو
I live in algeria,كانسكن ف الجزر
you need to run my errands,خاصك تدير ليا شي خدمة
you only have 18 years old,عندك غير 18 عام
lungs,راني راني
I live in France,كانعيش ففرنسا
Have you tried calm the dog,عمرك جربتي تبرّد لكلب
is it just lately,واش هادي غير مؤخرا
i need to enter this school,خاصني ندخل هاد المدرسة
you will buy cheap pieaces,غادي تشري ليك شي فاكس رخيص
Watching the ducks is very soothing,تشوف البط كايكفّر بزّاف
today is tawaf ,اليوم هو الواف
we have another thing to do,عندنا شي حاجة أخرى نديرها
Its gone,راه مشا
I will go to the forest,أنا غادي نمشي ل الغابة
honestly I don't know what to say,صراحة ماعرفتش شنو نڭول
i took a spot on the team,راني كنت كنتي ف الفريق
This apple is really sour,هاد التفاحة كايخايبة بزاف
you should never elevate cattle,عمرك تبرع ليا لفرقة
if only I could complete this job,كون غير قدرت نستكمل هاد الخدمة
i will reach it,أنا غادي نتوصل ليها
i think if he blocked me,تانفكّر واش حيدني
come drink coffe with me ,أجي تشرب القهوة معايا
your face does not look good,وجهك ماكايبانش مزيان
i cried when the dog died,كانبكي فاش مات لكلب
he want to sit there,بغاو يجلس فدار
Why don't you want to burn fire,علاش مابغيتيش تدخّن لور
I'm an introvert person,أنا شخصية متبغية
if only I could confirm what you say,كون غير قدرت ن تأكد دكشي لي كاتڭول
the disease is spreading,المرض كايتشر
It was the least I could do,هادي هي أقل حاجة لي قدرت نديها
when you going to throw w party,إمتا غادي تبرّع فالحفلة
i had diarrhee 9 times,كان عندي تسعة مرات ديال ديكري
When will you be able to attend a special class?,إمتا غادي تقدر ت حضر شي دورة خاصة؟
i will give you a scanner and call you back,أنا غادي نعطيك شي سكانر و نعاود نعاود نعاود ليك
the boy did vaccine,راه درا لولد لقاح
Maybe you did,إمكن نتا درتي
I see you're resourceful,شفتك ملي كادرب
dont exaggerate,ماتشافش
without taking this medicine,بلا ما تشتري هاد دوا
get out of here,خرج من هنا
bread with susages,الخبز مع الحمض
the opponent's midfield was strong,المنتصف ديال المضاد كان قوي
share this,شري معايا هادشي
I'am going to shop,أنا غادي نتسوق
did you phone my father,واش تليفون ليا بابا
we hope new ruler is good,كانتمنا يجي شي حاكم جديد
and I'll finally have a reason to wear those heels that have been gathering dust in my closet,و أخيرا غادي يكون عندي سبب باش نلبس داك الكعبات لي كايجمعو دشم فالمسترة ديالي
how do people typically spend weekends here?,كيفاش ناس عادات كايقيدو عطلة ديال عطلة؟
to elevate chicken,باش نعيد دجاج
i will let them stay,غادي نخلّاهوم يبقاو
What's your favourite dish?,اشناهوا واحد من الأطباق لي كيعجبك؟
Send it to the gym,سيرفتيها ل صالة
I always knew she wanted us dead,ديما عرفت بلي بغاتنا نموتو
remove a little bit,حيد شوية
Do they like other things?,واش كايعجبهم شي حاجة أخرى؟
send photos,سفت ليا تقاطع
everything will go well,كلشي غادي يجي مزيان
When are you going to employ some competent staff?,إمتا غادي ت توزّع شي موظّاف لي كايقدرو؟
When will you finish that painting?,إمتا غادي ت تكمّل داك اللوحة؟
What turns you on?,مالك لي كايشعلك؟
I'm 32,أنا 32
You don't want to buy this story,مابغيتيش ت شري هاد القصة
gimme the ammer,عطيني هاد الممر
I dont think you will meet him,مانضنش غادي تلاقيه
he is being sued,راه كايسدّو
there is no availbele place in pool,ماكاينش بلاصة فالبيسين
Call me back,عاود ليا
Oh sweet jesus.,يالله العزيز
I'm waiting for you own a house here,كانتسنّا فيك ت مولّد شي دار هنا
of course not,طبعا ماشي
i will go on,أنا غادي نستمر
yes I think my mother is waiting for me,آه كاندن ليا ماما كانتسناني
Maybe you can use a computer translator to help you?,ممكن تقدر تستعمل شي مترجم كومبيوتر باش يعاونك
i can make my own decisions,إيلا كانقدر نقدر ن تقرر
it's great to help others,مزيان باش تساعد الآخرين
she greet them,هي كاتسلم عليها
this is so expensive,هادشي غالية بزاف
Can we substitute it with duck?,واش نقدرو نبدللو بالبط؟
we were going from city to another,كنا كانمشيو من مدينة لمدينة
I took a shower today,أنا غتشت اليوم
Have you tried object to a problem,عمرك جربتي تعاود شي مشكل
