Original English,tgt,src
"No, I'm not.",لا، أنا ماشي.,"No, I'm fine."
you take herbs,واش تاخد عشب,Why are you taking herbs
It's possible,ممكن,Possibly
god speed,الله ديال,God is good
work harder this year,واش هاد هاد العام,this year
Your clothes are a mess,واش بزّاف باش باش بزّاف,it's too bad it's too bad
he will die,غادي يموت,he will die
he works in the radio,يعمل في الراديو,he works for the radio
he is playing with words,راه يلعب بالكلمات,he plays with words
we need to divorce,نا نا نا نا نتطلق,we're getting divorced
he went aboard to enjoy summer vacation ,كان على متنه ليستمتع بعطلة صيفية,He was on board having a summer holiday
Have you tried to irganize a tournament,عمرك جربتي تاكل ليا بزّاف,Have you tried to eat me too much
qatar ornized will,راه راه,this is it
did you put phone in charge,واش وضعتي تليفونا بزّاف,did you put on our phone
you fool people and you take all of there money,تداعبين الناس و تاخذي كل ماعندك من مال,you make fun of people and take all your money
tell father not to say anything,قل لوالدنا مانقول شي,tell dad not to say anything
Her sister is very sick.,أختها مريضة جدا,her sister is very sick
i broke an apple tree,كَسرتُ شجرة تابل,I broke a spice tree
you will see all the fans chanting your name,غادي تريا كل المعجبين يهتفون باسمك,i will see all the fans cheering your name
good luck,حظّا طيّبّا,good luck
I have to meet another friend on the first floor now,كان عليّ أن أقابل صديق آخر في الطابق الأول الآن,I have to meet another friend on the first floor now
Are you serious?,هل أنت جاد؟,Are you serious?
Where do you work?,واين تعمل؟,Where do you work?
did you finish,ديالك ديالك,this is yours
the cut my clothes,مزّق بزّاف ديالي,he tore my clothes
turn off the gas since you're there,واش ندير هاد النيازا واش هادشي,what do you want to do?
I dont think i will  object to the fans,مانضنش غادي ندير على المعجبين,i don't think i'm going to play fans
i found it in front of me,وا غادي نشوف ليا,I'm gonna show him
be afraid for him,خافي عليه,i'm afraid of him
go away,هادشي بزّاف,this is too much
from 2019,من عام 2019,from 2019
amen,راه,he's in a lot of trouble
i need a box,كانا بحاجة إلى صندوق,they needed a box
I had an accident,كان عندي حادث,I had an accident
i harm no one,واش تاخدّم ليا لااحد,why don't you talk to me
if only I could jinx him ,كون غير قدرت نحسّيه,if only I could feel it
Let me buy water,خليني نشتري الماء,Let me buy water
you think in old way,واش تفكّر بزّاف بزّاف,don't think too much
he stole my paper and money,سرق ورقتي و مال,he stole my paper and money
past,ليا بزّاف,it's too much
do you will leave me alone,غادي تاتركني واش,you will leave me
I usually do most of my homework and I do turn up generally,أنا عادة ندير معظم فروضي و نديرها بشكل عام,i usually do most of my work and do it in general
explain to me please,وضّح ليّ,explain to me
he invited me to dinner yesterday,دعاني على العشاء البارح,He invited me to dinner yesterday
i want to buy sticks,مابغيتيش نشتري ديال ديال ديال,I don't want to buy a deer
I dont think i will outrace them,أنا مانضنشش غادي نبعدهم,i don't think we'll send them away
where is the washing service,واين هي خدمة الغسل؟,Where is the laundry service?
i won silver medal,فزنت بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,I weigh extra extra extra extra extra extra extra
like I said,كما قلت,like I said
Clean the boared,خسّر الخيال,lose the fantasy
is there someone who don't talk to his parents,واشش شخص ماش مايتحدث مع والديه,He doesn't talk to his parents
you have,عندك,you have
We should stop seeing each other,يجب علينا التوقف عن رؤية بعضنا البعض,we should stop seeing each other
put the knife down,خلّص السكينة,save the knife
"yes, of course",باش باش بزّاف,it's too much
"The only potatoes available are from the refrigerator, they don't turn out quite well. ",البطاطا الوحيدة المتوفرة من البراغي، ماكانت غير جيّدة.,The only potatoes available from the bolt aren't good.
ive been hit,غادي غادي نضرب,i will hurry
"Of course, I can help you organize your party!",بالطبع، أنا يُمْكِنُ أَنْ يُساعدَك تُنظّمُ حزبكَ!,"Of course, I can help you organize your party!"
my blood is frozen,دميتي متجمدة,my doll is frozen
you should eat well in the morning,غادي تاكل بزّاف بزّاف بزّاف,you will eat too much
"Great, let's do it this way!",عظيم، دعونا نديرها هاد الطريق!,"Great, let's do it this way!"
i hate to be white,كرهت أن يكون بياض,I hated being white
be straight with me ,واش ليا ليا هاد ليا ليا,what is this for me
something happend to me,شي شي حادث ليا,something happened to me
I'm waiting for you to go with your boy to pray,كانتسنّا بزّاف تسافري مع ولدك لتصلّي,I've been waiting for you to travel with your son to pray
i thought that  he will buy a small dog,كان كيش يشا ليه كلب صغير,he didn't want to have a little dog
No that is alright,واش هادشي على ما يرام,is that okay?
they pay something,هادشي شي,this is a thing
I'm going to school tomorrow,أنا ذاهب إلى المدرسة غدا,i'm going to school tomorrow
with horror i saw one solution,مع رعب رأيت حلا واحدا,with horror I've seen one solution
today,اليوم,today
i need someone stable,أنا بزّت حاجة شخّاص ديال ديال ديال ديال ديال,i'm wearing a dial dyl dyl dl
when pigs fly,واش خنازير تطير,the pigs are flying
